,datetime,temp1,temp2,temp3,temp4,temp5,temp6,rh_1,rh_2,moist
267,00:04:28,,,,,8.187,,80.3,,
268,00:04:29,,,,,,8.375,,,
269,00:04:30,3.625,,,,,,80.4,,
270,00:04:31,,2.312,,,,,,,
271,00:04:32,,,3.125,,,,80.3,,
272,00:04:33,,,,5,,,,,
273,00:04:34,,,,,8.187,,80.4,,
274,00:04:35,3.625,,,,,8.375,,,
275,00:04:36,,2.312,,,,,80.4,,
276,00:04:37,,,3.125,,,,,,
277,00:04:38,,,,5,,,,,
278,00:04:39,,,,,8.187,,,,
279,00:04:40,,,,,,8.375,,,
280,00:04:41,3.625,,,,,,,,
281,00:04:42,,2.312,,,,,80.4,,
282,00:04:43,,,3.125,,,,,,
283,00:04:44,,,,5,8.187,,80.4,,
284,00:04:45,,,,,,8.375,,,
285,00:04:46,3.625,,,,,,80.4,,
286,00:04:47,,2.25,,,,,,,
287,00:04:48,,,3.125,,,,80.4,,
288,00:04:49,,,,4.937,,,,,
289,00:04:50,,,,,8.187,,80.4,,
290,00:04:51,,,,,,8.437,,,
291,00:04:52,3.687,,,,,,80.4,,
292,00:04:53,,2.25,3.125,,,,,,
293,00:04:54,,,,5,,,80.5,,
294,00:04:55,,,,,8.187,,,,
295,00:04:56,,,,,,8.375,80.4,,
296,00:04:57,3.625,,,,,,,,
297,00:04:58,,2.25,,,,,80.5,,
298,00:04:59,,,3.187,,,,,,
299,00:05:00,,,,4.937,,,80.5,,
300,00:05:01,,,,,8.187,,,,
301,00:05:02,3.687,,,,,8.375,80.5,,
302,00:05:03,,2.187,,,,,,,
303,00:05:04,,,3.187,,,,80.5,,
304,00:05:05,,,,5,,,,,
305,00:05:06,,,,,8.187,,80.5,,
306,00:05:07,,,,,,8.375,,,
307,00:05:08,3.687,,,,,,,,
308,00:05:09,,2.25,3.187,,,,,,
309,00:05:10,,,,5,,,,,
310,00:05:11,,,,,8.187,,,,
311,00:05:12,,,,,,8.375,80.5,,
312,00:05:13,3.687,,,,,,,,
313,00:05:14,,2.25,,,,,80.6,,
314,00:05:15,,,3.187,,,,,,
315,00:05:16,,,,5,,,80.5,,
316,00:05:17,,,,,8.187,,,,
317,00:05:18,3.625,,,,,8.375,80.5,,
318,00:05:19,,2.25,,,,,,,
319,00:05:20,,,3.187,,,,80.6,,
320,00:05:21,,,,5,,,,,
321,00:05:22,,,,,8.187,,80.6,,
322,00:05:23,,,,,,8.375,,,
323,00:05:24,3.687,,,,,,80.6,,
324,00:05:25,,2.25,3.187,,,,,,
325,00:05:26,,,,4.937,,,80.6,,
326,00:05:27,,,,,8.187,,,,
327,00:05:28,,,,,,8.375,80.5,,
328,00:05:29,3.687,,,,,,,,
329,00:05:30,,2.25,,,,,80.5,,
330,00:05:31,,,3.187,,,,,,
331,00:05:32,,,,5,,,80.6,,
332,00:05:33,,,,,8.187,8.375,,,
333,00:05:34,3.687,,,,,,80.5,,
334,00:05:35,,2.25,,,,,,,
335,00:05:36,,,3.187,,,,80.6,,
336,00:05:37,,,,5,,,,,
337,00:05:38,,,,,8.187,,,,
338,00:05:39,,,,,,8.375,,,
339,00:05:40,3.687,,,,,,,,
340,00:05:41,,2.187,3.187,,,,,,
341,00:05:42,,,,5,,,,,
342,00:05:43,,,,,8.187,,80.6,,
343,00:05:44,,,,,,8.375,80.6,,
344,00:05:45,3.687,,,,,,,,
345,00:05:46,,2.125,,,,,80.5,,
346,00:05:47,,,3.187,,,,,,
347,00:05:48,,,,5,8.187,,80.5,,
348,00:05:49,,,,,,8.375,,,
349,00:05:50,3.687,,,,,,80.7,,
350,00:05:51,,2.187,,,,,,,
351,00:05:52,,,3.25,,,,80.5,,
352,00:05:53,,,,5,,,,,
353,00:05:54,,,,,8.187,,80.6,,
354,00:05:55,,,,,,8.375,,,
355,00:05:56,3.687,2.187,,,,,80.6,,
356,00:05:57,,,3.187,,,,,,
357,00:05:58,,,,5,,,80.6,,
358,00:05:59,,,,,8.187,,,,
359,00:06:00,,,,,,8.375,80.6,,
360,00:06:01,3.687,,,,,,,,
361,00:06:02,,2.187,,,,,80.4,,
362,00:06:03,,,3.25,,,,,,
363,00:06:04,,,,5,8.187,,80.5,,
364,00:06:05,,,,,,8.375,,,
365,00:06:06,3.625,,,,,,80.5,,
366,00:06:07,,2.125,,,,,,,
367,00:06:08,,,3.25,,,,,,
368,00:06:09,,,,5,,,,,
369,00:06:10,,,,,8.187,,,,
370,00:06:11,,,,,,8.375,,,
371,00:06:12,3.625,,,,,,,,
372,00:06:13,,2.125,,,,,80.5,,
373,00:06:14,,,3.25,5,,,80.5,,
374,00:06:15,,,,,8.187,,,,
375,00:06:16,,,,,,8.375,80.5,,
376,00:06:17,3.625,,,,,,,,
377,00:06:18,,2.187,,,,,80.5,,
378,00:06:19,,,3.25,,,,,,
379,00:06:20,,,,5,,,80.4,,
