,rh,temps,datetime
22643,96.6,18.5,2023-09-12 00:15:53
22644,96.8,18.4,2023-09-12 00:15:55
22645,96.8,18.5,2023-09-12 00:15:57
22646,96.7,18.4,2023-09-12 00:16:04
22647,96.7,18.4,2023-09-12 00:16:05
22648,96.7,18.5,2023-09-12 00:16:07
22649,96.6,18.5,2023-09-12 00:16:09
22650,96.9,18.5,2023-09-12 00:16:11
22651,96.7,18.6,2023-09-12 00:16:13
22652,96.7,18.5,2023-09-12 00:16:15
22653,96.7,18.6,2023-09-12 00:16:17
22654,96.6,18.5,2023-09-12 00:16:19
22655,96.7,18.5,2023-09-12 00:16:21
22656,96.7,18.5,2023-09-12 00:16:24
22657,96.7,18.4,2023-09-12 00:16:26
22658,96.7,18.6,2023-09-12 00:16:28
22659,96.7,18.4,2023-09-12 00:16:35
22660,96.8,18.5,2023-09-12 00:16:36
22661,96.8,18.5,2023-09-12 00:16:38
22662,96.7,18.4,2023-09-12 00:16:40
22663,96.8,18.5,2023-09-12 00:16:42
22664,96.8,18.5,2023-09-12 00:16:44
22665,96.8,18.5,2023-09-12 00:16:46
22666,96.9,18.5,2023-09-12 00:16:48
22667,96.6,18.5,2023-09-12 00:16:50
22668,96.7,18.4,2023-09-12 00:16:52
22669,96.8,18.5,2023-09-12 00:16:54
22670,96.7,18.5,2023-09-12 00:16:56
22671,96.7,18.4,2023-09-12 00:16:58
22672,96.8,18.5,2023-09-12 00:17:05
22673,96.9,18.5,2023-09-12 00:17:06
22674,96.6,18.5,2023-09-12 00:17:08
22675,96.7,18.5,2023-09-12 00:17:10
22676,96.7,18.5,2023-09-12 00:17:12
22677,96.7,18.4,2023-09-12 00:17:14
22678,96.8,18.5,2023-09-12 00:17:16
22679,96.8,18.5,2023-09-12 00:17:18
22680,96.9,18.5,2023-09-12 00:17:20
22681,96.9,18.5,2023-09-12 00:17:22
22682,96.7,18.5,2023-09-12 00:17:24
22683,96.8,18.5,2023-09-12 00:17:26
22684,96.6,18.4,2023-09-12 00:17:28
22685,96.6,18.4,2023-09-12 00:17:35
22686,96.7,18.5,2023-09-12 00:17:36
22687,96.8,18.5,2023-09-12 00:17:38
22688,96.7,18.5,2023-09-12 00:17:40
22689,96.7,18.5,2023-09-12 00:17:42
22690,96.8,18.4,2023-09-12 00:17:44
22691,96.8,18.5,2023-09-12 00:17:46
22692,96.9,18.5,2023-09-12 00:17:48
22693,96.8,18.5,2023-09-12 00:17:50
22694,96.8,18.5,2023-09-12 00:17:52
22695,96.8,18.4,2023-09-12 00:17:54
22696,96.8,18.4,2023-09-12 00:17:56
22697,96.7,18.5,2023-09-12 00:17:58
22698,96.7,18.4,2023-09-12 00:18:05
22699,96.6,18.4,2023-09-12 00:18:06
22700,96.8,18.5,2023-09-12 00:18:08
22701,96.8,18.5,2023-09-12 00:18:10
22702,96.7,18.4,2023-09-12 00:18:12
22703,96.7,18.6,2023-09-12 00:18:14
22704,96.7,18.4,2023-09-12 00:18:16
22705,96.9,18.5,2023-09-12 00:18:18
22706,96.8,18.5,2023-09-12 00:18:20
22707,96.8,18.5,2023-09-12 00:18:22
22708,96.6,18.5,2023-09-12 00:18:24
22709,96.7,18.4,2023-09-12 00:18:26
22710,96.8,18.4,2023-09-12 00:18:28
22711,96.8,18.4,2023-09-12 00:18:35
22712,96.7,18.5,2023-09-12 00:18:36
22713,96.9,18.5,2023-09-12 00:18:38
22714,96.8,18.5,2023-09-12 00:18:40
22715,96.8,18.5,2023-09-12 00:18:42
22716,96.8,18.5,2023-09-12 00:18:44
22717,96.7,18.5,2023-09-12 00:18:46
22718,96.6,18.5,2023-09-12 00:18:48
22719,96.7,18.5,2023-09-12 00:18:50
22720,96.8,18.4,2023-09-12 00:18:52
22721,96.8,18.5,2023-09-12 00:18:54
22722,96.8,18.5,2023-09-12 00:18:56
22723,96.7,18.4,2023-09-12 00:18:58
22724,96.7,18.5,2023-09-12 00:19:05
22725,96.8,18.4,2023-09-12 00:19:06
22726,96.8,18.5,2023-09-12 00:19:08
22727,96.6,18.5,2023-09-12 00:19:10
22728,96.7,18.5,2023-09-12 00:19:12
22729,96.6,18.5,2023-09-12 00:19:14
22730,96.8,18.5,2023-09-12 00:19:16
22731,96.7,18.5,2023-09-12 00:19:18
22732,96.7,18.5,2023-09-12 00:19:20
22733,96.7,18.5,2023-09-12 00:19:22
22734,96.9,18.5,2023-09-12 00:19:24
22735,96.8,18.4,2023-09-12 00:19:26
22736,96.7,18.5,2023-09-12 00:19:28
22737,96.8,18.4,2023-09-12 00:19:35
22738,96.7,18.5,2023-09-12 00:19:36
22739,96.6,18.5,2023-09-12 00:19:38
22740,96.9,18.5,2023-09-12 00:19:40
22741,96.8,18.5,2023-09-12 00:19:42
22742,96.8,18.5,2023-09-12 00:19:44
22743,96.8,18.5,2023-09-12 00:19:46
22744,96.9,18.4,2023-09-12 00:19:49
22745,96.7,18.4,2023-09-12 00:19:51
22746,96.8,18.4,2023-09-12 00:19:53
22747,96.7,18.5,2023-09-12 00:19:55
22748,96.7,18.5,2023-09-12 00:19:57
22749,96.7,18.5,2023-09-12 00:19:59
22750,96.8,18.4,2023-09-12 00:20:05
22751,96.6,18.5,2023-09-12 00:20:07
22752,96.7,18.4,2023-09-12 00:20:09
22753,96.9,18.5,2023-09-12 00:20:11
22754,96.8,18.4,2023-09-12 00:20:13
22755,96.8,18.4,2023-09-12 00:20:15
22756,96.7,18.4,2023-09-12 00:20:17
22757,96.7,18.5,2023-09-12 00:20:19
22758,96.8,18.5,2023-09-12 00:20:21
22759,96.8,18.4,2023-09-12 00:20:23
22760,96.7,18.5,2023-09-12 00:20:25
22761,96.7,18.4,2023-09-12 00:20:27
22762,96.8,18.5,2023-09-12 00:20:29
22763,96.8,18.5,2023-09-12 00:20:36
22764,96.7,18.5,2023-09-12 00:20:37
22765,96.8,18.5,2023-09-12 00:20:39
22766,96.7,18.5,2023-09-12 00:20:41
22767,96.9,18.4,2023-09-12 00:20:43
22768,96.8,18.4,2023-09-12 00:20:45
22769,96.7,18.5,2023-09-12 00:20:47
22770,96.8,18.4,2023-09-12 00:20:49
22771,96.8,18.4,2023-09-12 00:20:51
22772,96.8,18.5,2023-09-12 00:20:53
22773,96.7,18.5,2023-09-12 00:20:55
22774,96.8,18.5,2023-09-12 00:20:57
22775,96.8,18.5,2023-09-12 00:20:59
22776,96.8,18.5,2023-09-12 00:21:06
22777,96.8,18.5,2023-09-12 00:21:07
22778,96.8,18.5,2023-09-12 00:21:09
22779,96.8,18.4,2023-09-12 00:21:11
22780,96.8,18.5,2023-09-12 00:21:13
22781,96.8,18.4,2023-09-12 00:21:15
22782,96.8,18.5,2023-09-12 00:21:17
22783,96.7,18.5,2023-09-12 00:21:19
22784,96.8,18.5,2023-09-12 00:21:21
22785,96.6,18.5,2023-09-12 00:21:23
22786,96.7,18.5,2023-09-12 00:21:25
22787,96.7,18.5,2023-09-12 00:21:27
22788,96.8,18.4,2023-09-12 00:21:29
22789,96.8,18.5,2023-09-12 00:21:36
22790,96.8,18.5,2023-09-12 00:21:37
22791,96.8,18.5,2023-09-12 00:21:39
22792,96.7,18.4,2023-09-12 00:21:41
22793,96.8,18.5,2023-09-12 00:21:43
22794,96.7,18.5,2023-09-12 00:21:45
22795,96.7,18.4,2023-09-12 00:21:47
22796,96.8,18.4,2023-09-12 00:21:49
22797,96.9,18.5,2023-09-12 00:21:51
22798,96.7,18.5,2023-09-12 00:21:53
22799,96.8,18.4,2023-09-12 00:21:55
22800,96.7,18.5,2023-09-12 00:21:57
22801,96.7,18.4,2023-09-12 00:21:59
22802,96.9,18.4,2023-09-12 00:22:06
22803,96.7,18.5,2023-09-12 00:22:07
22804,96.8,18.5,2023-09-12 00:22:09
22805,96.8,18.4,2023-09-12 00:22:11
22806,96.8,18.5,2023-09-12 00:22:13
22807,96.8,18.4,2023-09-12 00:22:15
22808,96.7,18.5,2023-09-12 00:22:17
22809,96.7,18.4,2023-09-12 00:22:19
22810,96.8,18.5,2023-09-12 00:22:21
22811,96.8,18.5,2023-09-12 00:22:23
